  No    Ref    V       B-V     U-B
 1442   558  16.570   0.765   0.329
 1443   558  18.434   0.911   0.497
 1444   558  15.483   0.641   0.104
 1445   558  15.365   0.689   0.177
 1446   558  16.304   0.774   0.284
 1447   558  17.974   0.798   0.329
 1448   558  15.502   0.776   0.362
 1449   558  15.696   0.836   0.454
 1450   558  16.389   0.757   0.274
 1451   558  17.606   0.883   0.395
 1452   558  16.273   0.750   0.252
 1453   558  17.274   0.947   0.534
 1454   558  18.556   0.731   0.156
 1455   558  18.367   0.763   0.299
 1456   558  16.727   0.779   0.188
 1457   558  16.983   0.728   0.176
 1458   558  18.789   0.917  -0.546
 1459   558  16.959   0.606  -0.041
 1460   558  17.109   1.068   0.831
 1461   558  16.956   0.674   0.184
 1462   558  17.738   0.786   0.244
 1463   558  16.327   0.678   0.054
 1464   558  19.192   0.738   0.281
 1465   558  18.432   0.973   1.108
 1466   558  18.687   0.899   0.350
 1467   558  15.883   0.820   0.410
 1468   558  17.506   1.132   1.084
 1469   558  17.306   0.734   0.170
 1470   558  16.728   1.138   1.086
 1471   558  17.050   1.503   1.005
 1472   558  16.966   0.632   0.046
 1473   558  15.375   0.623   0.079
 1474   558  17.922   0.590   0.034
 1475   558  18.441   0.834   0.225
 1476   558  18.340   0.593   0.142
 1477   558  17.938   1.015   0.884
 1478   558  18.680   0.796   0.050
 1479   558  17.223   0.672   0.093
 1480   558  16.955   0.639   0.077
 1481   558  18.112   0.634  -0.048
 1482   558  18.094   0.669   0.095
 1483   558  17.000   0.754   0.236
 1484   558  18.287   1.085   1.056
 1485   558  17.526   0.767   0.351
 1486   558  15.857   0.785   0.335
 1487   558  16.873   0.745   0.235
 1488   558  16.984   0.650   0.095
 1489   558  18.277   0.698   0.172
 1490   558  15.673   1.100   0.776
 1491   558  18.732   0.686   0.067
 1492   558  17.810   0.776   0.313
 1493   558  18.538   0.791   0.306
 1494   558  18.367   0.682   0.131
 1495   558  15.325   0.778   0.266
 1496   558  15.681   0.758   0.216
 1497   558  19.450   0.585  -0.068
 1498   558  17.033   0.792   0.285
 1499   558  14.659   0.606   0.141
 1500   558  17.785   1.032   0.910
 1501   558  15.824   0.558  -0.026
 1502   558  18.848   0.761   0.193
 1503   558  18.271   0.828   0.560
 1504   558  17.680   0.774   0.219
 1505   558  15.875   0.361   0.155
 1506   558  18.935   0.907   0.225
 1507   558  18.043   0.598   0.134
 1508   558  17.884   0.666   0.162
 1509   558  18.888   0.771   0.131
 1510   558  18.651   0.985   0.781
 1511   558  15.609   0.842   0.412
 1512   558  18.437   0.788   0.144
 1513   558  17.456   0.566  -0.045
 1514   558  18.315   0.900   0.565
 1515   558  17.835   0.790   0.347
 1516   558  18.503   0.599   0.102
 1517   558  18.687   0.638   0.052
 1518   558  18.785   0.751   0.135
 1519   558  17.413   0.805   0.273
 1520   558  16.674   0.743   0.255
 1521   558  17.750   1.106   0.999
 1522   558  16.892   0.869   0.416
 1523   558  15.703   0.902   0.561
 1524   558  16.417   1.315   1.206
 1525   558  16.081   1.102   1.024
 1526   558  17.032   0.610   0.074
 1527   558  18.515   0.952   0.690
 1528   558  16.490   0.810   0.427
 1529   558  18.652   0.828   0.361
 1530   558  16.936   0.819   0.351
 1531   558  17.554   0.829   0.356
 1532   558  17.716   0.752   0.140
 1533   558  16.377   0.909   0.607
 1534   558  19.096   0.709   0.169
 1535   558  17.133   1.058   0.858
 1536   558  17.601   1.001   0.796
 1537   558  18.129   0.867   0.329
 1538   558  17.374   0.733   0.111
 1539   558  17.603   0.746   0.211
 1540   558  15.448   1.202   1.118
 1541   558  16.081   0.633   0.048
 1542   558  18.019   0.682   0.189
 1543   558  19.543   0.628  -0.072
 1544   558  19.176   0.656   0.188
 1545   558  17.609   0.856   0.396
 1546   558  15.837   0.763   0.270
 1547   558  15.628   1.103   0.901
 1548   558  17.298   0.609   0.073
 1549   558  19.048   0.744   0.128
 1550   558  18.135   0.699  -0.049
 1551   558  16.807   0.711   0.043
 1552   558  15.373   0.683   0.213
 1553   558  17.160   0.951   0.688
 1554   558  18.089   1.078   0.934
 1555   558  18.066   0.815   0.468
 1556   558  16.705   0.611   0.014
 1557   558  17.433   1.400   1.163
 1558   558  16.274   0.752   0.333
 1559   558  16.753   0.593  -0.076
 1560   558  17.663   0.912   0.757
 1561   558  19.404   0.591   0.183
 1562   558  16.978   0.943   0.695
 1563   558  18.395   0.937   0.785
 1564   558  18.946   0.766   0.065
 1565   558  16.922   1.367   1.281
 1566   558  18.393   0.770   0.364
 1567   558  17.814   1.197   1.308
 1568   558  18.617   0.719  -0.095
 1569   558  16.431   0.754   0.373
 1570   558  17.672   0.723   0.172
 1571   558  18.216   0.768   0.227
 1572   558  16.531   0.823   0.380
 1573   558  17.315   0.795   0.172
 1574   558  18.815   0.834   0.375
 1575   558  17.337   0.963   0.702
 1576   558  15.437   0.870   0.562
 1577   558  17.842   1.066   0.811
 1578   558  17.376   0.920   0.564
 1579   558  16.299   0.898   0.545
 1580   558  15.269   0.807   0.421
 1581   558  18.614   0.818   0.463
 1582   558  18.719   0.943   0.249
 1583   558  18.308   0.751   0.279
 1584   558  15.819   0.796   0.438
 1585   558  16.691   0.708   0.132
 1586   558  18.490   0.653   0.071
 1587   558  16.951   0.658   0.083
 1588   558  17.264   1.058   1.019
 1589   558  17.844   1.118   1.111
 1590   558  16.601   0.766   0.248
